Index,Keyword,similarity
1,$0 gaming headphones,-1
2,$0 headphones,-1
3,$5 headphones,-1
4,a headphones case,-1
5,a headphones company,-1
6,a headphones definition,-1
7,a headphones for babies,-1
8,a headphones holder,-1
9,a headphones in french,-1
10,a headphones logo,-1
11,a headphones stylish,-1
12,a headphones symbol,-1
13,a headphones with microphone,-1
14,a4tech fstyler headphones,-1
15,a4tech headphones hs-30 price in pakistan,-1
16,a4tech headphones hs-50 price in pakistan,-1
17,a4tech headphones hs-60 price in pakistan,-1
18,a4tech headphones hu-50 price in pakistan,-1
19,aa battery headphones,-1
20,aa business class headphones,-1
21,aa headphones,-1
22,ab 1266 headphones,-1
23,abyss headphones review,-1
24,ac dc headphones,-1
25,ac headphones,-1
26,ac headphones adapter,-1
27,ac+ for headphones - price,-1
28,ac+ for headphones airpods - acs,-1
29,ac+ for headphones airpods pro,-1
30,ac+ for headphones airpods pro - acs,-1
31,ac+ headphones complimentary- aos,-1
32,ackermans headphones,-1
33,ad headphones,-1
34,ad headphones price in pakistan,-1
35,adidas headphones fwd-01,-1
36,adidas headphones fwd-02,-1
37,adidas headphones fwd-02 sport,-1
38,adidas headphones jd sports,-1
39,adidas headphones rpt-01,-1
40,adidas headphones rpt-01 how to pair,-1
41,adidas headphones rpt-01 manual,-1
42,adidas headphones rpt-02,-1
43,adidas headphones zne 01,-1
44,adidas zne headphones,-1
45,adjustable headphones,-1
46,ae headphones,-1
47,aedle headphones vk2,-1
48,af headphones,-1
49,af headphones price,-1
50,af wireless headphones,-1
51,ag brand headphones,-1
52,ag headphones,-1
53,ag headphones review,-1
54,ag whp01k headphones,-1
55,ah-806e headphones,-1
56,ah-d1200 headphones,-1
57,ah-d9200 headphones,-1
58,ah-gc25nc headphones,-1
59,ahead headphones,-1
60,ahead headphones review,-1
61,ahq headphones,-1
62,ahri headphones,-1
63,ahsoka headphones,-1
64,ahuja headphones,-1
65,ai ai dj headphones,-1
66,ai aiaiai headphones,-1
67,ai bluetooth headphones,-1
68,ai headphones,-1
69,ai hoshino headphones,-1
70,ai noise cancelling headphones,-1
71,ai translator headphones,-1
72,aiaiai headphones,-1
73,air conditioner headphones,-1
74,air headphones,-1
75,air nz headphones,-1
76,airpod headphones,-1
77,airpod pro headphones,-1
78,aiwa dx headphones,-1
79,aiwa headphones,-1
80,aj's headphones,-1
81,aj creative headphones,-1
82,aj headphones,-1
83,aj headphones pottery,-1
84,aj headphones worth,-1
85,ajah headphones,-1
86,ajazz headphones,-1
87,ajk headphones,-1
88,akg headphones,-1
89,akg headphones amazon,-1
90,akg headphones eo-ig955,-1
91,akg headphones near me,-1
92,akg headphones price,-1
93,akg headphones review,-1
94,akg headphones te koop,-1
95,akg headphones type c,-1
96,akg headphones wired,-1
97,akg headphones wireless,-1
98,akg headphones y series,-1
99,akg k headphones,-1
100,akg usb c headphones driver,-1
